mark_id,learner_id,subject,teacher_id,term,mark
167,7,Life Science,15,3,86
168,7,Life Science,15,4,78
169,8,English,6,1,63
170,8,English,6,2,72
171,8,English,6,3,68
172,8,English,6,4,64
173,8,Afrikaans,8,1,84
174,8,Afrikaans,8,2,78
175,8,Afrikaans,8,3,75
176,8,Afrikaans,8,4,85
177,8,Mathematics,2,1,76
178,8,Mathematics,2,2,71
179,8,Mathematics,2,3,80
180,8,Mathematics,2,4,81
181,8,Geography,19,1,84
182,8,Geography,19,2,83
183,8,Geography,19,3,81
184,8,Geography,19,4,93
185,8,Life Science,15,1,49
186,8,Life Science,15,2,46
187,8,Life Science,15,3,41
188,8,Life Science,15,4,46
189,8,Physical Science,10,1,42
190,8,Physical Science,10,2,41
191,8,Physical Science,10,3,48
192,8,Physical Science,10,4,44
193,9,English,5,1,88
194,9,English,5,2,81
195,9,English,5,3,74
196,9,English,5,4,79
197,9,Afrikaans,9,1,66
198,9,Afrikaans,9,2,56
199,9,Afrikaans,9,3,65
200,9,Afrikaans,9,4,63
201,9,Mathematics,1,1,50
202,9,Mathematics,1,2,52
203,9,Mathematics,1,3,51
204,9,Mathematics,1,4,53
205,9,History,18,1,74
206,9,History,18,2,69
207,9,History,18,3,79
208,9,History,18,4,79
209,9,Geography,20,1,78
210,9,Geography,20,2,70
211,9,Geography,20,3,64
212,9,Geography,20,4,75
213,9,Accounting,26,1,52
214,9,Accounting,26,2,44
215,9,Accounting,26,3,48
216,9,Accounting,26,4,49
217,10,English,4,1,47
218,10,English,4,2,55
219,10,English,4,3,54
220,10,English,4,4,54
221,10,Afrikaans,7,1,78
222,10,Afrikaans,7,2,70
223,10,Afrikaans,7,3,79
224,10,Afrikaans,7,4,76
225,10,Mathematics,2,1,61
226,10,Mathematics,2,2,71
227,10,Mathematics,2,3,73
228,10,Mathematics,2,4,68
229,10,Life Science,14,1,79
230,10,Life Science,14,2,80
231,10,Life Science,14,3,90
232,10,Life Science,14,4,89
233,10,Geography,20,1,76
234,10,Geography,20,2,71
235,10,Geography,20,3,75
236,10,Geography,20,4,85
237,10,History,17,1,46
238,10,History,17,2,44
239,10,History,17,3,49
240,10,History,17,4,53
241,11,English,6,1,74
242,11,English,6,2,63
243,11,English,6,3,66
244,11,English,6,4,76
245,11,Afrikaans,7,1,71
246,11,Afrikaans,7,2,74
247,11,Afrikaans,7,3,62
248,11,Afrikaans,7,4,64
249,11,Mathematics,3,1,76
250,11,Mathematics,3,2,77
251,11,Mathematics,3,3,75
252,11,Mathematics,3,4,73
253,11,History,18,1,58
254,11,History,18,2,55
255,11,History,18,3,60
256,11,History,18,4,70
257,11,Geography,19,1,84
258,11,Geography,19,2,75
259,11,Geography,19,3,80
260,11,Geography,19,4,80
261,11,Accounting,26,1,68
262,11,Accounting,26,2,71
263,11,Accounting,26,3,77
264,11,Accounting,26,4,68
265,12,English,4,1,50
266,12,English,4,2,48
267,12,English,4,3,60
268,12,English,4,4,51
269,12,Afrikaans,7,1,67
270,12,Afrikaans,7,2,75
271,12,Afrikaans,7,3,76
272,12,Afrikaans,7,4,67
273,12,Mathematics,2,1,76
274,12,Mathematics,2,2,76
275,12,Mathematics,2,3,72
276,12,Mathematics,2,4,72
277,12,Geography,19,1,78
278,12,Geography,19,2,69
279,12,Geography,19,3,65
280,12,Geography,19,4,68
281,12,History,16,1,55
282,12,History,16,2,63
283,12,History,16,3,48
284,12,History,16,4,59
285,12,Physical Science,10,1,76
286,12,Physical Science,10,2,79
287,12,Physical Science,10,3,69
288,12,Physical Science,10,4,67
289,13,English,5,1,52
290,13,English,5,2,55
291,13,English,5,3,58
292,13,English,5,4,59
293,13,Afrikaans,9,1,76
294,13,Afrikaans,9,2,65
295,13,Afrikaans,9,3,67
296,13,Afrikaans,9,4,73
297,13,Mathematics,3,1,50
298,13,Mathematics,3,2,50
299,13,Mathematics,3,3,52
300,13,Mathematics,3,4,47
301,13,Geography,20,1,52
302,13,Geography,20,2,51
303,13,Geography,20,3,60
304,13,Geography,20,4,63
305,13,Physical Science,11,1,36
306,13,Physical Science,11,2,49
307,13,Physical Science,11,3,37
308,13,Physical Science,11,4,42
309,13,Information Technology,23,1,50
310,13,Information Technology,23,2,55
311,13,Information Technology,23,3,52
312,13,Information Technology,23,4,56
313,14,English,4,1,81
314,14,English,4,2,74
315,14,English,4,3,80
316,14,English,4,4,78
317,14,Afrikaans,7,1,85
318,14,Afrikaans,7,2,81
319,14,Afrikaans,7,3,86
320,14,Afrikaans,7,4,79
321,14,Mathematics,2,1,69
322,14,Mathematics,2,2,68
323,14,Mathematics,2,3,69
324,14,Mathematics,2,4,74
325,14,History,16,1,77
326,14,History,16,2,76
327,14,History,16,3,78
328,14,History,16,4,77
329,14,Life Science,15,1,82
330,14,Life Science,15,2,80
331,14,Life Science,15,3,87
332,14,Life Science,15,4,74
333,14,Physical Science,10,1,70
334,14,Physical Science,10,2,70
335,14,Physical Science,10,3,76
336,14,Physical Science,10,4,68
337,15,English,6,1,73
338,15,English,6,2,78
339,15,English,6,3,66
340,15,English,6,4,65
341,15,Afrikaans,8,1,61
342,15,Afrikaans,8,2,60
343,15,Afrikaans,8,3,62
344,15,Afrikaans,8,4,61
345,15,Mathematics,2,1,55
346,15,Mathematics,2,2,49
347,15,Mathematics,2,3,55
348,15,Mathematics,2,4,55
349,15,Accounting,26,1,68
350,15,Accounting,26,2,60
351,15,Accounting,26,3,67
352,15,Accounting,26,4,72
353,15,Physical Science,12,1,68
354,15,Physical Science,12,2,75
355,15,Physical Science,12,3,72
356,15,Physical Science,12,4,79
357,15,Information Technology,23,1,50
358,15,Information Technology,23,2,56
359,15,Information Technology,23,3,49
360,15,Information Technology,23,4,46
361,16,English,5,1,46
362,16,English,5,2,54
363,16,English,5,3,57
364,16,English,5,4,58
365,16,Afrikaans,8,1,57
366,16,Afrikaans,8,2,62
367,16,Afrikaans,8,3,62
368,16,Afrikaans,8,4,58
369,16,Mathematics,1,1,57
370,16,Mathematics,1,2,58
371,16,Mathematics,1,3,56
372,16,Mathematics,1,4,57
373,16,Life Science,13,1,72
374,16,Life Science,13,2,57
375,16,Life Science,13,3,59
376,16,Life Science,13,4,69
377,16,Accounting,25,1,80
378,16,Accounting,25,2,73
379,16,Accounting,25,3,72
380,16,Accounting,25,4,77
381,16,Physical Science,10,1,34
382,16,Physical Science,10,2,42
383,16,Physical Science,10,3,48
384,16,Physical Science,10,4,48
385,17,English,6,1,57
386,17,English,6,2,60
387,17,English,6,3,70
388,17,English,6,4,61
389,17,Afrikaans,8,1,64
390,17,Afrikaans,8,2,65
391,17,Afrikaans,8,3,64
392,17,Afrikaans,8,4,54
393,17,Mathematics,3,1,58
394,17,Mathematics,3,2,63
395,17,Mathematics,3,3,68
396,17,Mathematics,3,4,66
397,17,Information Technology,22,1,51
398,17,Information Technology,22,2,55
399,17,Information Technology,22,3,53
400,17,Information Technology,22,4,47
401,17,Life Science,13,1,80
402,17,Life Science,13,2,81
403,17,Life Science,13,3,80
404,17,Life Science,13,4,89
405,17,Accounting,25,1,67
406,17,Accounting,25,2,68
407,17,Accounting,25,3,61
408,17,Accounting,25,4,63
409,18,English,5,1,93
410,18,English,5,2,89
411,18,English,5,3,93
412,18,English,5,4,78
413,18,Afrikaans,9,1,40
414,18,Afrikaans,9,2,43
415,18,Afrikaans,9,3,49
416,18,Afrikaans,9,4,54
417,18,Mathematics,2,1,79
418,18,Mathematics,2,2,69
419,18,Mathematics,2,3,81
420,18,Mathematics,2,4,69
421,18,Life Science,15,1,68
422,18,Life Science,15,2,63
423,18,Life Science,15,3,70
424,18,Life Science,15,4,67
425,18,Geography,21,1,86
426,18,Geography,21,2,92
427,18,Geography,21,3,92
428,18,Geography,21,4,91
429,18,Physical Science,10,1,75
430,18,Physical Science,10,2,81
431,18,Physical Science,10,3,66
432,18,Physical Science,10,4,77
433,19,English,4,1,63
434,19,English,4,2,73
435,19,English,4,3,69
436,19,English,4,4,60
437,19,Afrikaans,7,1,90
438,19,Afrikaans,7,2,83
439,19,Afrikaans,7,3,82
440,19,Afrikaans,7,4,76
441,19,Mathematics,3,1,84
442,19,Mathematics,3,2,74
443,19,Mathematics,3,3,85
444,19,Mathematics,3,4,81
445,19,Information Technology,24,1,51
446,19,Information Technology,24,2,45
447,19,Information Technology,24,3,47
448,19,Information Technology,24,4,50
449,19,Life Science,13,1,53
450,19,Life Science,13,2,49
451,19,Life Science,13,3,52
452,19,Life Science,13,4,43
453,19,Geography,20,1,71
454,19,Geography,20,2,78
455,19,Geography,20,3,81
456,19,Geography,20,4,80
457,20,English,5,1,46
458,20,English,5,2,58
459,20,English,5,3,48
460,20,English,5,4,52
461,20,Afrikaans,9,1,83
462,20,Afrikaans,9,2,79
463,20,Afrikaans,9,3,77
464,20,Afrikaans,9,4,72
465,20,Mathematics,3,1,71
466,20,Mathematics,3,2,72
467,20,Mathematics,3,3,69
468,20,Mathematics,3,4,76
469,20,Accounting,26,1,53
470,20,Accounting,26,2,54
471,20,Accounting,26,3,55
472,20,Accounting,26,4,53
473,20,History,16,1,68
474,20,History,16,2,65
475,20,History,16,3,74
476,20,History,16,4,69
477,20,Information Technology,22,1,76
478,20,Information Technology,22,2,73
479,20,Information Technology,22,3,74
480,20,Information Technology,22,4,68
481,21,English,4,1,87
482,21,English,4,2,87
483,21,English,4,3,86
484,21,English,4,4,79
485,21,Afrikaans,7,1,56
486,21,Afrikaans,7,2,64
487,21,Afrikaans,7,3,57
488,21,Afrikaans,7,4,66
489,21,Mathematics,3,1,68
490,21,Mathematics,3,2,75
491,21,Mathematics,3,3,66
492,21,Mathematics,3,4,66
493,21,Life Science,15,1,80
494,21,Life Science,15,2,80
495,21,Life Science,15,3,76
496,21,Life Science,15,4,75
497,21,Information Technology,24,1,81
498,21,Information Technology,24,2,81
499,21,Information Technology,24,3,75
500,21,Information Technology,24,4,90
501,21,Physical Science,11,1,51
502,21,Physical Science,11,2,45
503,21,Physical Science,11,3,47
504,21,Physical Science,11,4,57
505,22,English,4,1,75
506,22,English,4,2,63
507,22,English,4,3,64
508,22,English,4,4,60
509,22,Afrikaans,9,1,77
510,22,Afrikaans,9,2,85
511,22,Afrikaans,9,3,87
512,22,Afrikaans,9,4,87
513,22,Mathematics,2,1,53
514,22,Mathematics,2,2,54
515,22,Mathematics,2,3,53
516,22,Mathematics,2,4,45
517,22,Life Science,13,1,50
518,22,Life Science,13,2,44
519,22,Life Science,13,3,48
520,22,Life Science,13,4,56
521,22,History,18,1,52
522,22,History,18,2,63
523,22,History,18,3,66
524,22,History,18,4,56
525,22,Physical Science,10,1,49
526,22,Physical Science,10,2,48
527,22,Physical Science,10,3,57
528,22,Physical Science,10,4,51
529,23,English,6,1,69
530,23,English,6,2,74
531,23,English,6,3,76
532,23,English,6,4,75
533,23,Afrikaans,8,1,61
534,23,Afrikaans,8,2,59
535,23,Afrikaans,8,3,53
536,23,Afrikaans,8,4,51
537,23,Mathematics,1,1,49
538,23,Mathematics,1,2,44
539,23,Mathematics,1,3,53
540,23,Mathematics,1,4,47
541,23,Information Technology,23,1,46
542,23,Information Technology,23,2,56
543,23,Information Technology,23,3,55
544,23,Information Technology,23,4,52
545,23,Physical Science,11,1,53
546,23,Physical Science,11,2,54
547,23,Physical Science,11,3,57
548,23,Physical Science,11,4,51
549,23,History,18,1,57
550,23,History,18,2,48
551,23,History,18,3,50
552,23,History,18,4,49
553,24,English,4,1,79
554,24,English,4,2,76
555,24,English,4,3,69
556,24,English,4,4,77
557,24,Afrikaans,9,1,68
558,24,Afrikaans,9,2,75
559,24,Afrikaans,9,3,69
560,24,Afrikaans,9,4,71
561,24,Mathematics,2,1,51
562,24,Mathematics,2,2,59
563,24,Mathematics,2,3,62
564,24,Mathematics,2,4,58
565,24,Information Technology,22,1,41
566,24,Information Technology,22,2,52
567,24,Information Technology,22,3,47
568,24,Information Technology,22,4,43
569,24,Geography,19,1,80
570,24,Geography,19,2,73
571,24,Geography,19,3,67
572,24,Geography,19,4,73
573,24,Accounting,26,1,64
574,24,Accounting,26,2,64
575,24,Accounting,26,3,61
576,24,Accounting,26,4,72
577,25,English,4,1,62
578,25,English,4,2,59
579,25,English,4,3,61
580,25,English,4,4,63
581,25,Afrikaans,9,1,77
582,25,Afrikaans,9,2,78
583,25,Afrikaans,9,3,73
584,25,Afrikaans,9,4,87
585,25,Mathematics,3,1,76
586,25,Mathematics,3,2,71
587,25,Mathematics,3,3,62
588,25,Mathematics,3,4,63
589,25,Accounting,27,1,53
590,25,Accounting,27,2,43
591,25,Accounting,27,3,41
592,25,Accounting,27,4,42
593,25,Life Science,14,1,74
594,25,Life Science,14,2,72
595,25,Life Science,14,3,61
596,25,Life Science,14,4,64
597,25,Physical Science,12,1,82
598,25,Physical Science,12,2,69
599,25,Physical Science,12,3,83
600,25,Physical Science,12,4,81
601,26,English,5,1,56
602,26,English,5,2,46
603,26,English,5,3,58
604,26,English,5,4,55
605,26,Afrikaans,9,1,67
606,26,Afrikaans,9,2,80
607,26,Afrikaans,9,3,75
608,26,Afrikaans,9,4,66
609,26,Mathematics,1,1,65
610,26,Mathematics,1,2,57
611,26,Mathematics,1,3,63
612,26,Mathematics,1,4,59
613,26,Information Technology,24,1,50
614,26,Information Technology,24,2,48
615,26,Information Technology,24,3,39
616,26,Information Technology,24,4,38
617,26,Life Science,14,1,57
618,26,Life Science,14,2,43
619,26,Life Science,14,3,51
620,26,Life Science,14,4,55
621,26,Physical Science,10,1,45
622,26,Physical Science,10,2,54
623,26,Physical Science,10,3,52
624,26,Physical Science,10,4,53
625,27,English,4,1,79
626,27,English,4,2,79
627,27,English,4,3,69
628,27,English,4,4,71
629,27,Afrikaans,7,1,62
630,27,Afrikaans,7,2,64
631,27,Afrikaans,7,3,71
632,27,Afrikaans,7,4,75
633,27,Mathematics,3,1,47
634,27,Mathematics,3,2,40
635,27,Mathematics,3,3,40
636,27,Mathematics,3,4,49
637,27,Accounting,26,1,76
638,27,Accounting,26,2,75
639,27,Accounting,26,3,70
640,27,Accounting,26,4,70
641,27,History,18,1,80
642,27,History,18,2,73
643,27,History,18,3,77
644,27,History,18,4,75
645,27,Physical Science,12,1,38
646,27,Physical Science,12,2,50
647,27,Physical Science,12,3,37
648,27,Physical Science,12,4,44
649,28,English,4,1,54
650,28,English,4,2,55
651,28,English,4,3,53
652,28,English,4,4,66
653,28,Afrikaans,8,1,76
654,28,Afrikaans,8,2,82
655,28,Afrikaans,8,3,76
656,28,Afrikaans,8,4,87
657,28,Mathematics,1,1,67
658,28,Mathematics,1,2,66
659,28,Mathematics,1,3,61
660,28,Mathematics,1,4,64
661,28,Information Technology,23,1,76
662,28,Information Technology,23,2,74
663,28,Information Technology,23,3,77
664,28,Information Technology,23,4,77
665,28,Physical Science,12,1,54
666,28,Physical Science,12,2,49
667,28,Physical Science,12,3,61
668,28,Physical Science,12,4,52
669,28,History,17,1,75
670,28,History,17,2,74
671,28,History,17,3,67
672,28,History,17,4,71
673,29,English,6,1,92
674,29,English,6,2,94
675,29,English,6,3,80
676,29,English,6,4,90
677,29,Afrikaans,8,1,77
678,29,Afrikaans,8,2,71
679,29,Afrikaans,8,3,74
680,29,Afrikaans,8,4,74
681,29,Mathematics,2,1,50
682,29,Mathematics,2,2,53
683,29,Mathematics,2,3,46
684,29,Mathematics,2,4,56
685,29,Information Technology,22,1,57
686,29,Information Technology,22,2,59
687,29,Information Technology,22,3,54
688,29,Information Technology,22,4,64
689,29,Geography,21,1,55
690,29,Geography,21,2,55
691,29,Geography,21,3,58
692,29,Geography,21,4,46
693,29,History,17,1,71
694,29,History,17,2,72
695,29,History,17,3,70
696,29,History,17,4,74
697,30,English,6,1,58
698,30,English,6,2,55
699,30,English,6,3,46
700,30,English,6,4,50
701,30,Afrikaans,9,1,48
702,30,Afrikaans,9,2,52
703,30,Afrikaans,9,3,41
704,30,Afrikaans,9,4,42
705,30,Mathematics,2,1,50
706,30,Mathematics,2,2,59
707,30,Mathematics,2,3,50
708,30,Mathematics,2,4,54
709,30,Physical Science,10,1,49
710,30,Physical Science,10,2,55
711,30,Physical Science,10,3,55
712,30,Physical Science,10,4,52
713,30,Information Technology,23,1,72
714,30,Information Technology,23,2,71
715,30,Information Technology,23,3,77
716,30,Information Technology,23,4,72
717,30,History,16,1,85
718,30,History,16,2,84
719,30,History,16,3,87
720,30,History,16,4,89
721,31,English,6,1,84
722,31,English,6,2,82
723,31,English,6,3,81
724,31,English,6,4,84
725,31,Afrikaans,9,1,84
726,31,Afrikaans,9,2,83
727,31,Afrikaans,9,3,72
728,31,Afrikaans,9,4,84
729,31,Mathematics,3,1,58
730,31,Mathematics,3,2,63
731,31,Mathematics,3,3,62
732,31,Mathematics,3,4,65
733,31,Physical Science,10,1,39
734,31,Physical Science,10,2,36
735,31,Physical Science,10,3,32
736,31,Physical Science,10,4,40
737,31,Geography,20,1,87
738,31,Geography,20,2,83
739,31,Geography,20,3,78
740,31,Geography,20,4,80
741,31,Information Technology,24,1,63
742,31,Information Technology,24,2,68
743,31,Information Technology,24,3,63
744,31,Information Technology,24,4,71
745,32,English,6,1,84
746,32,English,6,2,82
747,32,English,6,3,89
748,32,English,6,4,89
749,32,Afrikaans,9,1,71
750,32,Afrikaans,9,2,77
751,32,Afrikaans,9,3,71
752,32,Afrikaans,9,4,70
753,32,Mathematics,3,1,81
754,32,Mathematics,3,2,71
755,32,Mathematics,3,3,67
756,32,Mathematics,3,4,82
757,32,Physical Science,12,1,34
758,32,Physical Science,12,2,33
759,32,Physical Science,12,3,32
760,32,Physical Science,12,4,45
761,32,Geography,19,1,54
762,32,Geography,19,2,49
763,32,Geography,19,3,51
764,32,Geography,19,4,47
765,32,History,16,1,69
766,32,History,16,2,67
767,32,History,16,3,64
768,32,History,16,4,54
769,33,English,4,1,93
770,33,English,4,2,93
771,33,English,4,3,78
772,33,English,4,4,78
773,33,Afrikaans,8,1,84
774,33,Afrikaans,8,2,71
775,33,Afrikaans,8,3,71
776,33,Afrikaans,8,4,87
777,33,Mathematics,3,1,58
778,33,Mathematics,3,2,49
779,33,Mathematics,3,3,65
780,33,Mathematics,3,4,62
781,33,Accounting,27,1,48
782,33,Accounting,27,2,48
783,33,Accounting,27,3,61
784,33,Accounting,27,4,49
785,33,Geography,20,1,60
786,33,Geography,20,2,70
787,33,Geography,20,3,62
788,33,Geography,20,4,65
789,33,Life Science,15,1,67
790,33,Life Science,15,2,57
791,33,Life Science,15,3,66
792,33,Life Science,15,4,67
793,34,English,5,1,75
794,34,English,5,2,75
795,34,English,5,3,77
796,34,English,5,4,70
797,34,Afrikaans,9,1,41
798,34,Afrikaans,9,2,51
799,34,Afrikaans,9,3,51
800,34,Afrikaans,9,4,51
801,34,Mathematics,1,1,82
802,34,Mathematics,1,2,68
803,34,Mathematics,1,3,67
804,34,Mathematics,1,4,72
805,34,Geography,21,1,59
806,34,Geography,21,2,57
807,34,Geography,21,3,54
808,34,Geography,21,4,47
809,34,Life Science,15,1,72
810,34,Life Science,15,2,78
811,34,Life Science,15,3,77
812,34,Life Science,15,4,86
813,34,History,16,1,58
814,34,History,16,2,59
815,34,History,16,3,65
816,34,History,16,4,58
817,35,English,4,1,60
818,35,English,4,2,50
819,35,English,4,3,56
820,35,English,4,4,54
821,35,Afrikaans,7,1,64
822,35,Afrikaans,7,2,71
823,35,Afrikaans,7,3,67
824,35,Afrikaans,7,4,69
825,35,Mathematics,3,1,80
826,35,Mathematics,3,2,78
827,35,Mathematics,3,3,80
828,35,Mathematics,3,4,72
829,35,Information Technology,22,1,56
830,35,Information Technology,22,2,51
831,35,Information Technology,22,3,41
832,35,Information Technology,22,4,43
833,35,Accounting,26,1,68
834,35,Accounting,26,2,63
835,35,Accounting,26,3,71
836,35,Accounting,26,4,73
837,35,Geography,19,1,59
838,35,Geography,19,2,67
839,35,Geography,19,3,73
840,35,Geography,19,4,74
841,36,English,5,1,64
842,36,English,5,2,65
843,36,English,5,3,66
844,36,English,5,4,58
845,36,Afrikaans,7,1,86
846,36,Afrikaans,7,2,76
847,36,Afrikaans,7,3,83
848,36,Afrikaans,7,4,81
849,36,Mathematics,3,1,38
850,36,Mathematics,3,2,44
851,36,Mathematics,3,3,40
852,36,Mathematics,3,4,48
853,36,Geography,20,1,83
854,36,Geography,20,2,91
855,36,Geography,20,3,89
856,36,Geography,20,4,90
857,36,Accounting,25,1,42
858,36,Accounting,25,2,40
859,36,Accounting,25,3,49
860,36,Accounting,25,4,54
861,36,History,16,1,71
862,36,History,16,2,66
863,36,History,16,3,67
864,36,History,16,4,65
865,37,English,6,1,63
866,37,English,6,2,64
867,37,English,6,3,66
868,37,English,6,4,63
869,37,Afrikaans,8,1,43
870,37,Afrikaans,8,2,45
871,37,Afrikaans,8,3,54
872,37,Afrikaans,8,4,45
873,37,Mathematics,2,1,80
874,37,Mathematics,2,2,82
875,37,Mathematics,2,3,70
876,37,Mathematics,2,4,79
877,37,History,17,1,78
878,37,History,17,2,68
879,37,History,17,3,73
880,37,History,17,4,82
881,37,Life Science,15,1,60
882,37,Life Science,15,2,53
883,37,Life Science,15,3,52
884,37,Life Science,15,4,56
885,37,Physical Science,11,1,57
886,37,Physical Science,11,2,64
887,37,Physical Science,11,3,53
888,37,Physical Science,11,4,51
889,38,English,6,1,62
890,38,English,6,2,57
891,38,English,6,3,62
892,38,English,6,4,58
893,38,Afrikaans,7,1,69
894,38,Afrikaans,7,2,78
895,38,Afrikaans,7,3,75
896,38,Afrikaans,7,4,74
897,38,Mathematics,1,1,87
898,38,Mathematics,1,2,78
899,38,Mathematics,1,3,86
900,38,Mathematics,1,4,75
901,38,History,16,1,57
902,38,History,16,2,48
903,38,History,16,3,60
904,38,History,16,4,58
905,38,Geography,19,1,90
906,38,Geography,19,2,88
907,38,Geography,19,3,92
908,38,Geography,19,4,88
909,38,Life Science,15,1,69
910,38,Life Science,15,2,74
911,38,Life Science,15,3,75
912,38,Life Science,15,4,71
913,39,English,5,1,79
914,39,English,5,2,74
915,39,English,5,3,81
916,39,English,5,4,79
917,39,Afrikaans,8,1,70
918,39,Afrikaans,8,2,62
919,39,Afrikaans,8,3,65
920,39,Afrikaans,8,4,67
921,39,Mathematics,3,1,61
922,39,Mathematics,3,2,60
923,39,Mathematics,3,3,52
924,39,Mathematics,3,4,55
925,39,Geography,21,1,81
926,39,Geography,21,2,76
927,39,Geography,21,3,90
928,39,Geography,21,4,82
929,39,Information Technology,24,1,72
930,39,Information Technology,24,2,65
931,39,Information Technology,24,3,76
932,39,Information Technology,24,4,78
933,39,Accounting,26,1,51
934,39,Accounting,26,2,49
935,39,Accounting,26,3,50
936,39,Accounting,26,4,46
937,40,English,5,1,78
938,40,English,5,2,68
939,40,English,5,3,80
940,40,English,5,4,81
941,40,Afrikaans,9,1,86
942,40,Afrikaans,9,2,90
