attendance_id,learner_id,term,days_possible,days_present,days_absent,attendance_rate
275,69,3,54,52,2,0.963
276,69,4,47,44,3,0.936
277,70,1,52,45,7,0.865
278,70,2,51,49,2,0.961
279,70,3,54,43,11,0.796
280,70,4,53,45,8,0.849
281,71,1,46,40,6,0.87
282,71,2,45,41,4,0.911
283,71,3,50,39,11,0.78
284,71,4,49,47,2,0.959
285,72,1,49,42,7,0.857
286,72,2,50,40,10,0.8
287,72,3,47,46,1,0.979
288,72,4,46,41,5,0.891
289,73,1,48,46,2,0.958
290,73,2,54,48,6,0.889
291,73,3,51,46,5,0.902
292,73,4,53,49,4,0.925
293,74,1,46,41,5,0.891
294,74,2,49,45,4,0.918
295,74,3,45,38,7,0.844
296,74,4,49,40,9,0.816
297,75,1,45,36,9,0.8
298,75,2,53,50,3,0.943
299,75,3,50,48,2,0.96
300,75,4,55,53,2,0.964
301,76,1,45,37,8,0.822
302,76,2,46,43,3,0.935
303,76,3,54,52,2,0.963
304,76,4,45,38,7,0.844
305,77,1,46,45,1,0.978
306,77,2,54,50,4,0.926
307,77,3,46,44,2,0.957
308,77,4,52,50,2,0.962
309,78,1,49,45,4,0.918
310,78,2,46,36,10,0.783
311,78,3,53,44,9,0.83
312,78,4,50,43,7,0.86
313,79,1,49,46,3,0.939
314,79,2,48,38,10,0.792
315,79,3,45,35,10,0.778
316,79,4,48,43,5,0.896
317,80,1,51,47,4,0.922
318,80,2,45,40,5,0.889
319,80,3,45,39,6,0.867
320,80,4,51,47,4,0.922
321,81,1,51,47,4,0.922
322,81,2,53,43,10,0.811
323,81,3,52,42,10,0.808
324,81,4,54,53,1,0.981
325,82,1,50,43,7,0.86
326,82,2,50,43,7,0.86
327,82,3,45,37,8,0.822
328,82,4,46,41,5,0.891
329,83,1,48,41,7,0.854
330,83,2,53,47,6,0.887
331,83,3,45,43,2,0.956
332,83,4,48,45,3,0.938
333,84,1,46,36,10,0.783
334,84,2,52,42,10,0.808
335,84,3,45,38,7,0.844
336,84,4,54,49,5,0.907
337,85,1,48,47,1,0.979
338,85,2,47,42,5,0.894
339,85,3,52,47,5,0.904
340,85,4,55,44,11,0.8
341,86,1,49,47,2,0.959
342,86,2,48,42,6,0.875
343,86,3,50,48,2,0.96
344,86,4,48,42,6,0.875
345,87,1,49,47,2,0.959
346,87,2,53,44,9,0.83
347,87,3,55,46,9,0.836
348,87,4,49,41,8,0.837
349,88,1,53,47,6,0.887
350,88,2,45,38,7,0.844
351,88,3,51,47,4,0.922
352,88,4,54,47,7,0.87
353,89,1,46,38,8,0.826
354,89,2,47,45,2,0.957
355,89,3,53,44,9,0.83
356,89,4,53,44,9,0.83
357,90,1,50,46,4,0.92
358,90,2,47,37,10,0.787
359,90,3,48,44,4,0.917
360,90,4,55,51,4,0.927
361,91,1,46,36,10,0.783
362,91,2,45,38,7,0.844
363,91,3,54,46,8,0.852
364,91,4,46,36,10,0.783
365,92,1,54,46,8,0.852
366,92,2,45,43,2,0.956
367,92,3,51,44,7,0.863
368,92,4,48,39,9,0.812
369,93,1,47,43,4,0.915
370,93,2,53,42,11,0.792
371,93,3,49,39,10,0.796
372,93,4,50,48,2,0.96
373,94,1,54,50,4,0.926
374,94,2,50,48,2,0.96
375,94,3,49,46,3,0.939
376,94,4,54,44,10,0.815
377,95,1,45,38,7,0.844
378,95,2,54,47,7,0.87
379,95,3,51,48,3,0.941
380,95,4,45,42,3,0.933
381,96,1,53,45,8,0.849
382,96,2,55,46,9,0.836
383,96,3,53,46,7,0.868
384,96,4,54,50,4,0.926
385,97,1,53,44,9,0.83
386,97,2,51,45,6,0.882
387,97,3,48,39,9,0.812
388,97,4,45,38,7,0.844
389,98,1,55,53,2,0.964
390,98,2,46,45,1,0.978
391,98,3,53,44,9,0.83
392,98,4,54,46,8,0.852
393,99,1,54,45,9,0.833
394,99,2,49,45,4,0.918
395,99,3,55,52,3,0.945
396,99,4,54,42,12,0.778
397,100,1,49,44,5,0.898
398,100,2,50,47,3,0.94
399,100,3,47,41,6,0.872
400,100,4,45,39,6,0.867
401,101,1,52,41,11,0.788
402,101,2,50,44,6,0.88
403,101,3,53,44,9,0.83
404,101,4,45,40,5,0.889
405,102,1,46,38,8,0.826
406,102,2,54,48,6,0.889
407,102,3,46,40,6,0.87
408,102,4,49,46,3,0.939
409,103,1,49,41,8,0.837
410,103,2,52,42,10,0.808
411,103,3,55,45,10,0.818
412,103,4,54,49,5,0.907
413,104,1,48,39,9,0.812
414,104,2,45,37,8,0.822
415,104,3,53,50,3,0.943
416,104,4,54,46,8,0.852
417,105,1,53,49,4,0.925
418,105,2,45,44,1,0.978
419,105,3,49,48,1,0.98
420,105,4,45,41,4,0.911
421,106,1,50,44,6,0.88
422,106,2,45,41,4,0.911
423,106,3,50,40,10,0.8
424,106,4,53,46,7,0.868
425,107,1,53,42,11,0.792
426,107,2,48,41,7,0.854
427,107,3,50,47,3,0.94
428,107,4,55,47,8,0.855
429,108,1,55,48,7,0.873
430,108,2,49,40,9,0.816
431,108,3,50,45,5,0.9
432,108,4,50,42,8,0.84
433,109,1,51,49,2,0.961
434,109,2,50,44,6,0.88
435,109,3,49,44,5,0.898
436,109,4,47,40,7,0.851
437,110,1,49,47,2,0.959
438,110,2,54,42,12,0.778
439,110,3,54,44,10,0.815
440,110,4,50,44,6,0.88
441,111,1,53,50,3,0.943
442,111,2,50,48,2,0.96
443,111,3,51,48,3,0.941
444,111,4,45,41,4,0.911
445,112,1,47,40,7,0.851
446,112,2,55,44,11,0.8
447,112,3,46,45,1,0.978
448,112,4,48,43,5,0.896
449,113,1,54,49,5,0.907
450,113,2,51,45,6,0.882
451,113,3,46,44,2,0.957
452,113,4,53,50,3,0.943
453,114,1,54,47,7,0.87
454,114,2,53,47,6,0.887
455,114,3,50,42,8,0.84
456,114,4,54,45,9,0.833
457,115,1,48,41,7,0.854
458,115,2,50,41,9,0.82
459,115,3,50,46,4,0.92
460,115,4,46,42,4,0.913
461,116,1,52,48,4,0.923
462,116,2,51,43,8,0.843
463,116,3,50,45,5,0.9
464,116,4,46,44,2,0.957
465,117,1,55,48,7,0.873
466,117,2,48,42,6,0.875
467,117,3,51,42,9,0.824
468,117,4,47,45,2,0.957
469,118,1,48,45,3,0.938
470,118,2,51,47,4,0.922
471,118,3,55,44,11,0.8
472,118,4,49,46,3,0.939
473,119,1,50,42,8,0.84
474,119,2,46,40,6,0.87
475,119,3,53,52,1,0.981
476,119,4,54,47,7,0.87
477,120,1,48,46,2,0.958
478,120,2,52,41,11,0.788
479,120,3,46,40,6,0.87
480,120,4,53,49,4,0.925
481,121,1,52,48,4,0.923
482,121,2,47,45,2,0.957
483,121,3,51,40,11,0.784
484,121,4,47,46,1,0.979
485,122,1,47,42,5,0.894
486,122,2,53,51,2,0.962
487,122,3,51,43,8,0.843
488,122,4,51,47,4,0.922
489,123,1,48,44,4,0.917
490,123,2,46,39,7,0.848
491,123,3,50,45,5,0.9
492,123,4,54,43,11,0.796
493,124,1,45,36,9,0.8
494,124,2,50,48,2,0.96
495,124,3,51,46,5,0.902
496,124,4,51,43,8,0.843
497,125,1,52,48,4,0.923
498,125,2,47,43,4,0.915
499,125,3,54,52,2,0.963
500,125,4,53,42,11,0.792
501,126,1,45,40,5,0.889
502,126,2,50,46,4,0.92
503,126,3,52,45,7,0.865
504,126,4,52,42,10,0.808
505,127,1,54,45,9,0.833
506,127,2,46,38,8,0.826
507,127,3,52,44,8,0.846
508,127,4,54,48,6,0.889
509,128,1,53,47,6,0.887
510,128,2,51,43,8,0.843
511,128,3,51,43,8,0.843
512,128,4,47,46,1,0.979
513,129,1,45,42,3,0.933
514,129,2,48,42,6,0.875
515,129,3,49,44,5,0.898
516,129,4,54,46,8,0.852
517,130,1,50,42,8,0.84
518,130,2,46,39,7,0.848
519,130,3,52,45,7,0.865
520,130,4,47,39,8,0.83
521,131,1,49,48,1,0.98
522,131,2,46,44,2,0.957
523,131,3,55,46,9,0.836
524,131,4,46,38,8,0.826
525,132,1,53,49,4,0.925
526,132,2,45,40,5,0.889
527,132,3,45,44,1,0.978
528,132,4,53,47,6,0.887
529,133,1,48,38,10,0.792
530,133,2,45,38,7,0.844
531,133,3,49,47,2,0.959
532,133,4,54,47,7,0.87
533,134,1,52,46,6,0.885
534,134,2,52,44,8,0.846
535,134,3,46,42,4,0.913
536,134,4,46,40,6,0.87
537,135,1,51,45,6,0.882
538,135,2,46,44,2,0.957
539,135,3,49,45,4,0.918
540,135,4,46,45,1,0.978
541,136,1,46,43,3,0.935
542,136,2,48,44,4,0.917
543,136,3,50,41,9,0.82
544,136,4,50,42,8,0.84
545,137,1,55,51,4,0.927
546,137,2,55,51,4,0.927
547,137,3,50,48,2,0.96
548,137,4,45,39,6,0.867
549,138,1,53,45,8,0.849
550,138,2,53,48,5,0.906
551,138,3,55,43,12,0.782
552,138,4,55,50,5,0.909
553,139,1,48,39,9,0.812
554,139,2,51,49,2,0.961
555,139,3,48,44,4,0.917
556,139,4,49,43,6,0.878
557,140,1,52,49,3,0.942
558,140,2,52,43,9,0.827
559,140,3,48,44,4,0.917
560,140,4,46,45,1,0.978
561,141,1,48,37,11,0.771
562,141,2,46,40,6,0.87
563,141,3,54,44,10,0.815
564,141,4,47,37,10,0.787
565,142,1,49,44,5,0.898
566,142,2,55,49,6,0.891
567,142,3,55,47,8,0.855
568,142,4,53,48,5,0.906
569,143,1,47,45,2,0.957
570,143,2,48,46,2,0.958
571,143,3,55,48,7,0.873
572,143,4,55,47,8,0.855
573,144,1,50,44,6,0.88
574,144,2,49,39,10,0.796
575,144,3,46,45,1,0.978
576,144,4,49,42,7,0.857
577,145,1,52,44,8,0.846
578,145,2,55,48,7,0.873
579,145,3,47,41,6,0.872
580,145,4,50,46,4,0.92
581,146,1,50,46,4,0.92
582,146,2,47,44,3,0.936
583,146,3,52,49,3,0.942
584,146,4,52,47,5,0.904
585,147,1,55,45,10,0.818
586,147,2,49,41,8,0.837
587,147,3,48,46,2,0.958
588,147,4,51,40,11,0.784
589,148,1,50,42,8,0.84
590,148,2,50,43,7,0.86
591,148,3,52,45,7,0.865
592,148,4,49,47,2,0.959
593,149,1,49,43,6,0.878
594,149,2,48,41,7,0.854
595,149,3,45,38,7,0.844
596,149,4,51,42,9,0.824
597,150,1,47,42,5,0.894
598,150,2,55,44,11,0.8
599,150,3,54,49,5,0.907
600,150,4,47,42,5,0.894
601,151,1,45,44,1,0.978
602,151,2,45,42,3,0.933
603,151,3,46,43,3,0.935
604,151,4,50,48,2,0.96
605,152,1,53,42,11,0.792
606,152,2,45,40,5,0.889
607,152,3,50,44,6,0.88
608,152,4,47,45,2,0.957
609,153,1,51,49,2,0.961
610,153,2,48,40,8,0.833
611,153,3,47,45,2,0.957
612,153,4,50,43,7,0.86
613,154,1,53,49,4,0.925
614,154,2,45,35,10,0.778
615,154,3,45,42,3,0.933
616,154,4,53,42,11,0.792
617,155,1,51,48,3,0.941
618,155,2,45,37,8,0.822
619,155,3,49,38,11,0.776
620,155,4,55,51,4,0.927
621,156,1,48,38,10,0.792
622,156,2,46,43,3,0.935
623,156,3,51,46,5,0.902
624,156,4,47,44,3,0.936
625,157,1,49,47,2,0.959
626,157,2,46,37,9,0.804
627,157,3,51,40,11,0.784
628,157,4,53,48,5,0.906
629,158,1,47,38,9,0.809
630,158,2,54,51,3,0.944
631,158,3,48,45,3,0.938
632,158,4,49,46,3,0.939
633,159,1,51,45,6,0.882
634,159,2,45,38,7,0.844
635,159,3,52,43,9,0.827
636,159,4,49,48,1,0.98
637,160,1,54,47,7,0.87
638,160,2,49,42,7,0.857
639,160,3,48,47,1,0.979
640,160,4,53,44,9,0.83
641,161,1,49,47,2,0.959
642,161,2,53,47,6,0.887
643,161,3,51,40,11,0.784
644,161,4,52,48,4,0.923
645,162,1,50,47,3,0.94
646,162,2,46,40,6,0.87
647,162,3,54,53,1,0.981
648,162,4,51,48,3,0.941
649,163,1,52,44,8,0.846
650,163,2,54,43,11,0.796
651,163,3,49,41,8,0.837
652,163,4,55,54,1,0.982
653,164,1,46,41,5,0.891
654,164,2,48,46,2,0.958
655,164,3,52,47,5,0.904
656,164,4,46,37,9,0.804
657,165,1,54,51,3,0.944
658,165,2,53,49,4,0.925
659,165,3,54,50,4,0.926
660,165,4,45,42,3,0.933
661,166,1,49,42,7,0.857
662,166,2,50,47,3,0.94
663,166,3,45,38,7,0.844
664,166,4,54,49,5,0.907
665,167,1,45,38,7,0.844
666,167,2,48,45,3,0.938
667,167,3,52,46,6,0.885
668,167,4,50,49,1,0.98
669,168,1,48,41,7,0.854
670,168,2,52,46,6,0.885
671,168,3,46,44,2,0.957
672,168,4,51,47,4,0.922
673,169,1,51,41,10,0.804
674,169,2,45,37,8,0.822
675,169,3,46,37,9,0.804
676,169,4,52,50,2,0.962
677,170,1,46,36,10,0.783
678,170,2,51,45,6,0.882
679,170,3,55,52,3,0.945
680,170,4,52,42,10,0.808
681,171,1,53,46,7,0.868
682,171,2,45,38,7,0.844
683,171,3,51,50,1,0.98
684,171,4,55,46,9,0.836
685,172,1,50,45,5,0.9
686,172,2,50,45,5,0.9
687,172,3,47,38,9,0.809
688,172,4,53,49,4,0.925
689,173,1,54,52,2,0.963
690,173,2,50,44,6,0.88
691,173,3,49,43,6,0.878
692,173,4,48,46,2,0.958
693,174,1,47,38,9,0.809
694,174,2,52,41,11,0.788
695,174,3,51,42,9,0.824
696,174,4,52,41,11,0.788
697,175,1,45,38,7,0.844
698,175,2,48,39,9,0.812
699,175,3,46,41,5,0.891
700,175,4,50,40,10,0.8
701,176,1,54,47,7,0.87
702,176,2,47,37,10,0.787
703,176,3,55,49,6,0.891
704,176,4,48,41,7,0.854
705,177,1,45,43,2,0.956
706,177,2,49,41,8,0.837
707,177,3,51,46,5,0.902
708,177,4,49,42,7,0.857
709,178,1,51,49,2,0.961
710,178,2,53,47,6,0.887
711,178,3,55,45,10,0.818
712,178,4,54,44,10,0.815
713,179,1,48,40,8,0.833
714,179,2,49,44,5,0.898
715,179,3,47,44,3,0.936
716,179,4,54,49,5,0.907
717,180,1,51,43,8,0.843
718,180,2,54,49,5,0.907
719,180,3,54,49,5,0.907
720,180,4,52,43,9,0.827
721,181,1,45,42,3,0.933
722,181,2,48,38,10,0.792
723,181,3,54,44,10,0.815
724,181,4,47,41,6,0.872
725,182,1,45,38,7,0.844
726,182,2,45,36,9,0.8
727,182,3,52,45,7,0.865
728,182,4,52,44,8,0.846
729,183,1,53,49,4,0.925
730,183,2,48,43,5,0.896
731,183,3,51,48,3,0.941
732,183,4,52,44,8,0.846
733,184,1,53,45,8,0.849
734,184,2,46,44,2,0.957
735,184,3,48,47,1,0.979
736,184,4,55,52,3,0.945
737,185,1,47,45,2,0.957
738,185,2,53,46,7,0.868
739,185,3,49,45,4,0.918
740,185,4,53,51,2,0.962
741,186,1,55,47,8,0.855
742,186,2,45,43,2,0.956
743,186,3,52,49,3,0.942
744,186,4,50,46,4,0.92
745,187,1,48,43,5,0.896
746,187,2,48,41,7,0.854
747,187,3,47,45,2,0.957
748,187,4,45,37,8,0.822
749,188,1,50,44,6,0.88
750,188,2,45,40,5,0.889
751,188,3,50,40,10,0.8
752,188,4,50,48,2,0.96
753,189,1,53,51,2,0.962
754,189,2,54,45,9,0.833
755,189,3,55,46,9,0.836
756,189,4,52,45,7,0.865
757,190,1,49,41,8,0.837
758,190,2,45,44,1,0.978
759,190,3,45,43,2,0.956
760,190,4,52,51,1,0.981
761,191,1,55,48,7,0.873
762,191,2,47,41,6,0.872
763,191,3,55,51,4,0.927
764,191,4,46,36,10,0.783
765,192,1,45,41,4,0.911
766,192,2,47,43,4,0.915
767,192,3,47,45,2,0.957
768,192,4,47,37,10,0.787
769,193,1,46,36,10,0.783
770,193,2,55,51,4,0.927
771,193,3,50,40,10,0.8
772,193,4,53,44,9,0.83
773,194,1,48,44,4,0.917
774,194,2,45,38,7,0.844
775,194,3,55,52,3,0.945
776,194,4,50,48,2,0.96
777,195,1,47,45,2,0.957
778,195,2,54,50,4,0.926
779,195,3,50,44,6,0.88
780,195,4,55,47,8,0.855
781,196,1,55,50,5,0.909
782,196,2,46,38,8,0.826
783,196,3,53,43,10,0.811
784,196,4,49,39,10,0.796
785,197,1,52,41,11,0.788
786,197,2,54,44,10,0.815
787,197,3,53,46,7,0.868
788,197,4,55,51,4,0.927
789,198,1,45,38,7,0.844
790,198,2,53,45,8,0.849
791,198,3,50,44,6,0.88
792,198,4,46,41,5,0.891
793,199,1,52,41,11,0.788
794,199,2,46,38,8,0.826
795,199,3,46,38,8,0.826
796,199,4,54,49,5,0.907
797,200,1,45,42,3,0.933
798,200,2,45,37,8,0.822
799,200,3,50,44,6,0.88
800,200,4,48,40,8,0.833
801,201,1,55,50,5,0.909
802,201,2,48,45,3,0.938
803,201,3,47,40,7,0.851
804,201,4,51,47,4,0.922
805,202,1,47,39,8,0.83
806,202,2,54,46,8,0.852
807,202,3,48,45,3,0.938
808,202,4,49,47,2,0.959
809,203,1,47,46,1,0.979
810,203,2,49,45,4,0.918
811,203,3,49,39,10,0.796
812,203,4,50,45,5,0.9
813,204,1,50,47,3,0.94
814,204,2,53,46,7,0.868
815,204,3,55,50,5,0.909
816,204,4,47,37,10,0.787
817,205,1,54,46,8,0.852
818,205,2,53,47,6,0.887
819,205,3,51,43,8,0.843
820,205,4,55,52,3,0.945
821,206,1,48,41,7,0.854
822,206,2,53,47,6,0.887
823,206,3,49,39,10,0.796
824,206,4,48,40,8,0.833
825,207,1,52,43,9,0.827
826,207,2,46,41,5,0.891
827,207,3,55,45,10,0.818
828,207,4,47,41,6,0.872
829,208,1,50,43,7,0.86
830,208,2,51,46,5,0.902
831,208,3,45,38,7,0.844
832,208,4,46,42,4,0.913
833,209,1,45,37,8,0.822
834,209,2,52,44,8,0.846
835,209,3,55,53,2,0.964
836,209,4,47,45,2,0.957
837,210,1,49,40,9,0.816
838,210,2,53,43,10,0.811
839,210,3,45,39,6,0.867
840,210,4,54,47,7,0.87
841,211,1,54,50,4,0.926
842,211,2,51,45,6,0.882
843,211,3,48,40,8,0.833
844,211,4,50,45,5,0.9
845,212,1,52,48,4,0.923
846,212,2,49,39,10,0.796
847,212,3,48,45,3,0.938
848,212,4,53,42,11,0.792
849,213,1,51,48,3,0.941
850,213,2,54,46,8,0.852
851,213,3,45,37,8,0.822
852,213,4,47,45,2,0.957
853,214,1,54,53,1,0.981
854,214,2,53,43,10,0.811
855,214,3,54,50,4,0.926
856,214,4,47,43,4,0.915
857,215,1,45,44,1,0.978
858,215,2,49,46,3,0.939
859,215,3,47,44,3,0.936
860,215,4,52,45,7,0.865
861,216,1,52,41,11,0.788
862,216,2,47,39,8,0.83
863,216,3,47,39,8,0.83
864,216,4,46,38,8,0.826
865,217,1,48,42,6,0.875
866,217,2,48,39,9,0.812
867,217,3,53,50,3,0.943
868,217,4,50,39,11,0.78
869,218,1,47,40,7,0.851
870,218,2,52,46,6,0.885
