attendance_id,learner_id,term,days_possible,days_present,days_absent,attendance_rate,attendance_category
117,30,1,45,40,5,0.889,Attendance Concern
118,30,2,50,47,3,0.94,Good Attendance
119,30,3,46,40,6,0.87,Attendance Concern
120,30,4,52,46,6,0.885,Attendance Concern
121,31,1,50,42,8,0.84,Attendance Concern
122,31,2,45,40,5,0.889,Attendance Concern
123,31,3,55,45,10,0.818,Attendance Concern
124,31,4,55,45,10,0.818,Attendance Concern
125,32,1,49,44,5,0.898,Attendance Concern
126,32,2,55,45,10,0.818,Attendance Concern
127,32,3,52,44,8,0.846,Attendance Concern
128,32,4,49,38,11,0.776,High Attendance Risk
129,33,1,45,37,8,0.822,Attendance Concern
130,33,2,54,43,11,0.796,High Attendance Risk
131,33,3,52,44,8,0.846,Attendance Concern
132,33,4,51,43,8,0.843,Attendance Concern
133,34,1,45,36,9,0.8,Attendance Concern
134,34,2,47,40,7,0.851,Attendance Concern
135,34,3,49,46,3,0.939,Good Attendance
136,34,4,53,48,5,0.906,Good Attendance
137,35,1,53,43,10,0.811,Attendance Concern
138,35,2,46,42,4,0.913,Good Attendance
139,35,3,47,46,1,0.979,Good Attendance
140,35,4,48,42,6,0.875,Attendance Concern
141,36,1,46,39,7,0.848,Attendance Concern
142,36,2,45,39,6,0.867,Attendance Concern
143,36,3,50,41,9,0.82,Attendance Concern
144,36,4,55,50,5,0.909,Good Attendance
145,37,1,51,44,7,0.863,Attendance Concern
146,37,2,46,44,2,0.957,Good Attendance
147,37,3,49,44,5,0.898,Attendance Concern
148,37,4,47,42,5,0.894,Attendance Concern
149,38,1,55,53,2,0.964,Good Attendance
150,38,2,54,44,10,0.815,Attendance Concern
151,38,3,48,40,8,0.833,Attendance Concern
152,38,4,51,45,6,0.882,Attendance Concern
153,39,1,49,41,8,0.837,Attendance Concern
154,39,2,49,44,5,0.898,Attendance Concern
155,39,3,55,48,7,0.873,Attendance Concern
156,39,4,47,40,7,0.851,Attendance Concern
157,40,1,51,41,10,0.804,Attendance Concern
158,40,2,53,46,7,0.868,Attendance Concern
159,40,3,50,44,6,0.88,Attendance Concern
160,40,4,55,51,4,0.927,Good Attendance
161,41,1,52,44,8,0.846,Attendance Concern
162,41,2,52,45,7,0.865,Attendance Concern
163,41,3,51,44,7,0.863,Attendance Concern
164,41,4,53,42,11,0.792,High Attendance Risk
165,42,1,51,41,10,0.804,Attendance Concern
166,42,2,47,42,5,0.894,Attendance Concern
167,42,3,49,46,3,0.939,Good Attendance
168,42,4,54,48,6,0.889,Attendance Concern
169,43,1,47,42,5,0.894,Attendance Concern
170,43,2,54,52,2,0.963,Good Attendance
171,43,3,45,42,3,0.933,Good Attendance
172,43,4,51,41,10,0.804,Attendance Concern
173,44,1,55,43,12,0.782,High Attendance Risk
174,44,2,53,46,7,0.868,Attendance Concern
175,44,3,45,36,9,0.8,Attendance Concern
176,44,4,49,46,3,0.939,Good Attendance
177,45,1,55,44,11,0.8,Attendance Concern
178,45,2,54,43,11,0.796,High Attendance Risk
179,45,3,49,44,5,0.898,Attendance Concern
180,45,4,50,48,2,0.96,Good Attendance
181,46,1,46,43,3,0.935,Good Attendance
182,46,2,55,49,6,0.891,Attendance Concern
183,46,3,45,41,4,0.911,Good Attendance
184,46,4,53,43,10,0.811,Attendance Concern
185,47,1,52,42,10,0.808,Attendance Concern
186,47,2,55,50,5,0.909,Good Attendance
187,47,3,47,39,8,0.83,Attendance Concern
188,47,4,49,45,4,0.918,Good Attendance
189,48,1,45,42,3,0.933,Good Attendance
190,48,2,54,50,4,0.926,Good Attendance
191,48,3,46,36,10,0.783,High Attendance Risk
192,48,4,47,42,5,0.894,Attendance Concern
193,49,1,46,41,5,0.891,Attendance Concern
194,49,2,48,39,9,0.812,Attendance Concern
195,49,3,52,41,11,0.788,High Attendance Risk
196,49,4,53,46,7,0.868,Attendance Concern
197,50,1,45,43,2,0.956,Good Attendance
198,50,2,49,42,7,0.857,Attendance Concern
199,50,3,47,44,3,0.936,Good Attendance
200,50,4,53,44,9,0.83,Attendance Concern
201,51,1,54,49,5,0.907,Good Attendance
202,51,2,55,50,5,0.909,Good Attendance
203,51,3,51,41,10,0.804,Attendance Concern
204,51,4,45,37,8,0.822,Attendance Concern
205,52,1,55,46,9,0.836,Attendance Concern
206,52,2,53,49,4,0.925,Good Attendance
207,52,3,53,43,10,0.811,Attendance Concern
208,52,4,52,44,8,0.846,Attendance Concern
209,53,1,55,44,11,0.8,Attendance Concern
210,53,2,54,47,7,0.87,Attendance Concern
211,53,3,55,46,9,0.836,Attendance Concern
212,53,4,51,47,4,0.922,Good Attendance
213,54,1,46,40,6,0.87,Attendance Concern
214,54,2,51,41,10,0.804,Attendance Concern
215,54,3,49,43,6,0.878,Attendance Concern
216,54,4,54,46,8,0.852,Attendance Concern
217,55,1,54,45,9,0.833,Attendance Concern
218,55,2,55,50,5,0.909,Good Attendance
219,55,3,55,50,5,0.909,Good Attendance
220,55,4,45,43,2,0.956,Good Attendance
221,56,1,50,49,1,0.98,Good Attendance
222,56,2,52,50,2,0.962,Good Attendance
223,56,3,52,43,9,0.827,Attendance Concern
224,56,4,47,40,7,0.851,Attendance Concern
225,57,1,53,44,9,0.83,Attendance Concern
226,57,2,53,45,8,0.849,Attendance Concern
227,57,3,46,37,9,0.804,Attendance Concern
228,57,4,47,40,7,0.851,Attendance Concern
229,58,1,54,46,8,0.852,Attendance Concern
230,58,2,47,39,8,0.83,Attendance Concern
231,58,3,55,46,9,0.836,Attendance Concern
232,58,4,51,40,11,0.784,High Attendance Risk
233,59,1,55,48,7,0.873,Attendance Concern
234,59,2,52,47,5,0.904,Good Attendance
235,59,3,47,42,5,0.894,Attendance Concern
236,59,4,53,50,3,0.943,Good Attendance
237,60,1,53,44,9,0.83,Attendance Concern
238,60,2,50,45,5,0.9,Good Attendance
239,60,3,54,46,8,0.852,Attendance Concern
240,60,4,54,51,3,0.944,Good Attendance
241,61,1,46,36,10,0.783,High Attendance Risk
242,61,2,47,39,8,0.83,Attendance Concern
243,61,3,55,44,11,0.8,Attendance Concern
244,61,4,55,48,7,0.873,Attendance Concern
245,62,1,48,47,1,0.979,Good Attendance
246,62,2,48,38,10,0.792,High Attendance Risk
247,62,3,47,44,3,0.936,Good Attendance
248,62,4,51,47,4,0.922,Good Attendance
249,63,1,51,49,2,0.961,Good Attendance
250,63,2,45,41,4,0.911,Good Attendance
251,63,3,46,36,10,0.783,High Attendance Risk
252,63,4,46,40,6,0.87,Attendance Concern
253,64,1,50,45,5,0.9,Good Attendance
254,64,2,45,43,2,0.956,Good Attendance
255,64,3,50,40,10,0.8,Attendance Concern
256,64,4,52,44,8,0.846,Attendance Concern
257,65,1,55,49,6,0.891,Attendance Concern
258,65,2,48,39,9,0.812,Attendance Concern
259,65,3,52,45,7,0.865,Attendance Concern
260,65,4,49,40,9,0.816,Attendance Concern
261,66,1,47,41,6,0.872,Attendance Concern
262,66,2,53,50,3,0.943,Good Attendance
263,66,3,48,38,10,0.792,High Attendance Risk
264,66,4,45,41,4,0.911,Good Attendance
265,67,1,55,44,11,0.8,Attendance Concern
266,67,2,45,42,3,0.933,Good Attendance
267,67,3,45,38,7,0.844,Attendance Concern
268,67,4,51,46,5,0.902,Good Attendance
269,68,1,46,39,7,0.848,Attendance Concern
270,68,2,55,51,4,0.927,Good Attendance
271,68,3,55,49,6,0.891,Attendance Concern
272,68,4,48,45,3,0.938,Good Attendance
273,69,1,54,51,3,0.944,Good Attendance
274,69,2,53,45,8,0.849,Attendance Concern
275,69,3,54,52,2,0.963,Good Attendance
276,69,4,47,44,3,0.936,Good Attendance
277,70,1,52,45,7,0.865,Attendance Concern
278,70,2,51,49,2,0.961,Good Attendance
279,70,3,54,43,11,0.796,High Attendance Risk
280,70,4,53,45,8,0.849,Attendance Concern
281,71,1,46,40,6,0.87,Attendance Concern
282,71,2,45,41,4,0.911,Good Attendance
283,71,3,50,39,11,0.78,High Attendance Risk
284,71,4,49,47,2,0.959,Good Attendance
285,72,1,49,42,7,0.857,Attendance Concern
286,72,2,50,40,10,0.8,Attendance Concern
287,72,3,47,46,1,0.979,Good Attendance
288,72,4,46,41,5,0.891,Attendance Concern
289,73,1,48,46,2,0.958,Good Attendance
290,73,2,54,48,6,0.889,Attendance Concern
291,73,3,51,46,5,0.902,Good Attendance
292,73,4,53,49,4,0.925,Good Attendance
293,74,1,46,41,5,0.891,Attendance Concern
294,74,2,49,45,4,0.918,Good Attendance
295,74,3,45,38,7,0.844,Attendance Concern
296,74,4,49,40,9,0.816,Attendance Concern
297,75,1,45,36,9,0.8,Attendance Concern
298,75,2,53,50,3,0.943,Good Attendance
299,75,3,50,48,2,0.96,Good Attendance
300,75,4,55,53,2,0.964,Good Attendance
301,76,1,45,37,8,0.822,Attendance Concern
302,76,2,46,43,3,0.935,Good Attendance
303,76,3,54,52,2,0.963,Good Attendance
304,76,4,45,38,7,0.844,Attendance Concern
305,77,1,46,45,1,0.978,Good Attendance
306,77,2,54,50,4,0.926,Good Attendance
307,77,3,46,44,2,0.957,Good Attendance
308,77,4,52,50,2,0.962,Good Attendance
309,78,1,49,45,4,0.918,Good Attendance
310,78,2,46,36,10,0.783,High Attendance Risk
311,78,3,53,44,9,0.83,Attendance Concern
312,78,4,50,43,7,0.86,Attendance Concern
313,79,1,49,46,3,0.939,Good Attendance
314,79,2,48,38,10,0.792,High Attendance Risk
315,79,3,45,35,10,0.778,High Attendance Risk
316,79,4,48,43,5,0.896,Attendance Concern
317,80,1,51,47,4,0.922,Good Attendance
318,80,2,45,40,5,0.889,Attendance Concern
319,80,3,45,39,6,0.867,Attendance Concern
320,80,4,51,47,4,0.922,Good Attendance
321,81,1,51,47,4,0.922,Good Attendance
322,81,2,53,43,10,0.811,Attendance Concern
323,81,3,52,42,10,0.808,Attendance Concern
324,81,4,54,53,1,0.981,Good Attendance
325,82,1,50,43,7,0.86,Attendance Concern
326,82,2,50,43,7,0.86,Attendance Concern
327,82,3,45,37,8,0.822,Attendance Concern
328,82,4,46,41,5,0.891,Attendance Concern
329,83,1,48,41,7,0.854,Attendance Concern
330,83,2,53,47,6,0.887,Attendance Concern
331,83,3,45,43,2,0.956,Good Attendance
332,83,4,48,45,3,0.938,Good Attendance
333,84,1,46,36,10,0.783,High Attendance Risk
334,84,2,52,42,10,0.808,Attendance Concern
335,84,3,45,38,7,0.844,Attendance Concern
336,84,4,54,49,5,0.907,Good Attendance
337,85,1,48,47,1,0.979,Good Attendance
338,85,2,47,42,5,0.894,Attendance Concern
339,85,3,52,47,5,0.904,Good Attendance
340,85,4,55,44,11,0.8,Attendance Concern
341,86,1,49,47,2,0.959,Good Attendance
342,86,2,48,42,6,0.875,Attendance Concern
343,86,3,50,48,2,0.96,Good Attendance
344,86,4,48,42,6,0.875,Attendance Concern
345,87,1,49,47,2,0.959,Good Attendance
346,87,2,53,44,9,0.83,Attendance Concern
347,87,3,55,46,9,0.836,Attendance Concern
348,87,4,49,41,8,0.837,Attendance Concern
349,88,1,53,47,6,0.887,Attendance Concern
350,88,2,45,38,7,0.844,Attendance Concern
351,88,3,51,47,4,0.922,Good Attendance
352,88,4,54,47,7,0.87,Attendance Concern
353,89,1,46,38,8,0.826,Attendance Concern
354,89,2,47,45,2,0.957,Good Attendance
355,89,3,53,44,9,0.83,Attendance Concern
356,89,4,53,44,9,0.83,Attendance Concern
357,90,1,50,46,4,0.92,Good Attendance
358,90,2,47,37,10,0.787,High Attendance Risk
359,90,3,48,44,4,0.917,Good Attendance
360,90,4,55,51,4,0.927,Good Attendance
361,91,1,46,36,10,0.783,High Attendance Risk
362,91,2,45,38,7,0.844,Attendance Concern
363,91,3,54,46,8,0.852,Attendance Concern
364,91,4,46,36,10,0.783,High Attendance Risk
365,92,1,54,46,8,0.852,Attendance Concern
366,92,2,45,43,2,0.956,Good Attendance
367,92,3,51,44,7,0.863,Attendance Concern
368,92,4,48,39,9,0.812,Attendance Concern
369,93,1,47,43,4,0.915,Good Attendance
370,93,2,53,42,11,0.792,High Attendance Risk
371,93,3,49,39,10,0.796,High Attendance Risk
372,93,4,50,48,2,0.96,Good Attendance
373,94,1,54,50,4,0.926,Good Attendance
374,94,2,50,48,2,0.96,Good Attendance
375,94,3,49,46,3,0.939,Good Attendance
376,94,4,54,44,10,0.815,Attendance Concern
377,95,1,45,38,7,0.844,Attendance Concern
378,95,2,54,47,7,0.87,Attendance Concern
379,95,3,51,48,3,0.941,Good Attendance
380,95,4,45,42,3,0.933,Good Attendance
381,96,1,53,45,8,0.849,Attendance Concern
382,96,2,55,46,9,0.836,Attendance Concern
383,96,3,53,46,7,0.868,Attendance Concern
384,96,4,54,50,4,0.926,Good Attendance
385,97,1,53,44,9,0.83,Attendance Concern
386,97,2,51,45,6,0.882,Attendance Concern
387,97,3,48,39,9,0.812,Attendance Concern
388,97,4,45,38,7,0.844,Attendance Concern
389,98,1,55,53,2,0.964,Good Attendance
390,98,2,46,45,1,0.978,Good Attendance
391,98,3,53,44,9,0.83,Attendance Concern
392,98,4,54,46,8,0.852,Attendance Concern
393,99,1,54,45,9,0.833,Attendance Concern
394,99,2,49,45,4,0.918,Good Attendance
395,99,3,55,52,3,0.945,Good Attendance
396,99,4,54,42,12,0.778,High Attendance Risk
397,100,1,49,44,5,0.898,Attendance Concern
398,100,2,50,47,3,0.94,Good Attendance
399,100,3,47,41,6,0.872,Attendance Concern
400,100,4,45,39,6,0.867,Attendance Concern
401,101,1,52,41,11,0.788,High Attendance Risk
402,101,2,50,44,6,0.88,Attendance Concern
403,101,3,53,44,9,0.83,Attendance Concern
404,101,4,45,40,5,0.889,Attendance Concern
405,102,1,46,38,8,0.826,Attendance Concern
406,102,2,54,48,6,0.889,Attendance Concern
407,102,3,46,40,6,0.87,Attendance Concern
408,102,4,49,46,3,0.939,Good Attendance
409,103,1,49,41,8,0.837,Attendance Concern
410,103,2,52,42,10,0.808,Attendance Concern
411,103,3,55,45,10,0.818,Attendance Concern
412,103,4,54,49,5,0.907,Good Attendance
413,104,1,48,39,9,0.812,Attendance Concern
414,104,2,45,37,8,0.822,Attendance Concern
415,104,3,53,50,3,0.943,Good Attendance
416,104,4,54,46,8,0.852,Attendance Concern
417,105,1,53,49,4,0.925,Good Attendance
418,105,2,45,44,1,0.978,Good Attendance
419,105,3,49,48,1,0.98,Good Attendance
420,105,4,45,41,4,0.911,Good Attendance
421,106,1,50,44,6,0.88,Attendance Concern
422,106,2,45,41,4,0.911,Good Attendance
423,106,3,50,40,10,0.8,Attendance Concern
424,106,4,53,46,7,0.868,Attendance Concern
425,107,1,53,42,11,0.792,High Attendance Risk
426,107,2,48,41,7,0.854,Attendance Concern
427,107,3,50,47,3,0.94,Good Attendance
428,107,4,55,47,8,0.855,Attendance Concern
429,108,1,55,48,7,0.873,Attendance Concern
430,108,2,49,40,9,0.816,Attendance Concern
431,108,3,50,45,5,0.9,Good Attendance
432,108,4,50,42,8,0.84,Attendance Concern
433,109,1,51,49,2,0.961,Good Attendance
434,109,2,50,44,6,0.88,Attendance Concern
435,109,3,49,44,5,0.898,Attendance Concern
436,109,4,47,40,7,0.851,Attendance Concern
437,110,1,49,47,2,0.959,Good Attendance
438,110,2,54,42,12,0.778,High Attendance Risk
439,110,3,54,44,10,0.815,Attendance Concern
440,110,4,50,44,6,0.88,Attendance Concern
441,111,1,53,50,3,0.943,Good Attendance
442,111,2,50,48,2,0.96,Good Attendance
443,111,3,51,48,3,0.941,Good Attendance
444,111,4,45,41,4,0.911,Good Attendance
445,112,1,47,40,7,0.851,Attendance Concern
446,112,2,55,44,11,0.8,Attendance Concern
447,112,3,46,45,1,0.978,Good Attendance
448,112,4,48,43,5,0.896,Attendance Concern
449,113,1,54,49,5,0.907,Good Attendance
450,113,2,51,45,6,0.882,Attendance Concern
451,113,3,46,44,2,0.957,Good Attendance
452,113,4,53,50,3,0.943,Good Attendance
453,114,1,54,47,7,0.87,Attendance Concern
454,114,2,53,47,6,0.887,Attendance Concern
455,114,3,50,42,8,0.84,Attendance Concern
456,114,4,54,45,9,0.833,Attendance Concern
457,115,1,48,41,7,0.854,Attendance Concern
458,115,2,50,41,9,0.82,Attendance Concern
459,115,3,50,46,4,0.92,Good Attendance
460,115,4,46,42,4,0.913,Good Attendance
461,116,1,52,48,4,0.923,Good Attendance
462,116,2,51,43,8,0.843,Attendance Concern
463,116,3,50,45,5,0.9,Good Attendance
464,116,4,46,44,2,0.957,Good Attendance
465,117,1,55,48,7,0.873,Attendance Concern
466,117,2,48,42,6,0.875,Attendance Concern
467,117,3,51,42,9,0.824,Attendance Concern
468,117,4,47,45,2,0.957,Good Attendance
469,118,1,48,45,3,0.938,Good Attendance
470,118,2,51,47,4,0.922,Good Attendance
471,118,3,55,44,11,0.8,Attendance Concern
472,118,4,49,46,3,0.939,Good Attendance
473,119,1,50,42,8,0.84,Attendance Concern
474,119,2,46,40,6,0.87,Attendance Concern
475,119,3,53,52,1,0.981,Good Attendance
476,119,4,54,47,7,0.87,Attendance Concern
477,120,1,48,46,2,0.958,Good Attendance
478,120,2,52,41,11,0.788,High Attendance Risk
479,120,3,46,40,6,0.87,Attendance Concern
480,120,4,53,49,4,0.925,Good Attendance
481,121,1,52,48,4,0.923,Good Attendance
482,121,2,47,45,2,0.957,Good Attendance
483,121,3,51,40,11,0.784,High Attendance Risk
484,121,4,47,46,1,0.979,Good Attendance
485,122,1,47,42,5,0.894,Attendance Concern
486,122,2,53,51,2,0.962,Good Attendance
487,122,3,51,43,8,0.843,Attendance Concern
488,122,4,51,47,4,0.922,Good Attendance
489,123,1,48,44,4,0.917,Good Attendance
490,123,2,46,39,7,0.848,Attendance Concern
491,123,3,50,45,5,0.9,Good Attendance
492,123,4,54,43,11,0.796,High Attendance Risk
493,124,1,45,36,9,0.8,Attendance Concern
494,124,2,50,48,2,0.96,Good Attendance
495,124,3,51,46,5,0.902,Good Attendance
496,124,4,51,43,8,0.843,Attendance Concern
497,125,1,52,48,4,0.923,Good Attendance
498,125,2,47,43,4,0.915,Good Attendance
499,125,3,54,52,2,0.963,Good Attendance
500,125,4,53,42,11,0.792,High Attendance Risk
501,126,1,45,40,5,0.889,Attendance Concern
502,126,2,50,46,4,0.92,Good Attendance
503,126,3,52,45,7,0.865,Attendance Concern
504,126,4,52,42,10,0.808,Attendance Concern
505,127,1,54,45,9,0.833,Attendance Concern
506,127,2,46,38,8,0.826,Attendance Concern
507,127,3,52,44,8,0.846,Attendance Concern
508,127,4,54,48,6,0.889,Attendance Concern
509,128,1,53,47,6,0.887,Attendance Concern
510,128,2,51,43,8,0.843,Attendance Concern
511,128,3,51,43,8,0.843,Attendance Concern
512,128,4,47,46,1,0.979,Good Attendance
513,129,1,45,42,3,0.933,Good Attendance
514,129,2,48,42,6,0.875,Attendance Concern
515,129,3,49,44,5,0.898,Attendance Concern
516,129,4,54,46,8,0.852,Attendance Concern
517,130,1,50,42,8,0.84,Attendance Concern
518,130,2,46,39,7,0.848,Attendance Concern
519,130,3,52,45,7,0.865,Attendance Concern
520,130,4,47,39,8,0.83,Attendance Concern
521,131,1,49,48,1,0.98,Good Attendance
522,131,2,46,44,2,0.957,Good Attendance
523,131,3,55,46,9,0.836,Attendance Concern
524,131,4,46,38,8,0.826,Attendance Concern
525,132,1,53,49,4,0.925,Good Attendance
526,132,2,45,40,5,0.889,Attendance Concern
527,132,3,45,44,1,0.978,Good Attendance
528,132,4,53,47,6,0.887,Attendance Concern
529,133,1,48,38,10,0.792,High Attendance Risk
530,133,2,45,38,7,0.844,Attendance Concern
531,133,3,49,47,2,0.959,Good Attendance
532,133,4,54,47,7,0.87,Attendance Concern
533,134,1,52,46,6,0.885,Attendance Concern
534,134,2,52,44,8,0.846,Attendance Concern
535,134,3,46,42,4,0.913,Good Attendance
536,134,4,46,40,6,0.87,Attendance Concern
537,135,1,51,45,6,0.882,Attendance Concern
538,135,2,46,44,2,0.957,Good Attendance
539,135,3,49,45,4,0.918,Good Attendance
540,135,4,46,45,1,0.978,Good Attendance
541,136,1,46,43,3,0.935,Good Attendance
542,136,2,48,44,4,0.917,Good Attendance
543,136,3,50,41,9,0.82,Attendance Concern
544,136,4,50,42,8,0.84,Attendance Concern
545,137,1,55,51,4,0.927,Good Attendance
546,137,2,55,51,4,0.927,Good Attendance
547,137,3,50,48,2,0.96,Good Attendance
548,137,4,45,39,6,0.867,Attendance Concern
549,138,1,53,45,8,0.849,Attendance Concern
550,138,2,53,48,5,0.906,Good Attendance
551,138,3,55,43,12,0.782,High Attendance Risk
552,138,4,55,50,5,0.909,Good Attendance
553,139,1,48,39,9,0.812,Attendance Concern
554,139,2,51,49,2,0.961,Good Attendance
555,139,3,48,44,4,0.917,Good Attendance
556,139,4,49,43,6,0.878,Attendance Concern
557,140,1,52,49,3,0.942,Good Attendance
558,140,2,52,43,9,0.827,Attendance Concern
559,140,3,48,44,4,0.917,Good Attendance
560,140,4,46,45,1,0.978,Good Attendance
561,141,1,48,37,11,0.771,High Attendance Risk
562,141,2,46,40,6,0.87,Attendance Concern
563,141,3,54,44,10,0.815,Attendance Concern
564,141,4,47,37,10,0.787,High Attendance Risk
565,142,1,49,44,5,0.898,Attendance Concern
566,142,2,55,49,6,0.891,Attendance Concern
567,142,3,55,47,8,0.855,Attendance Concern
568,142,4,53,48,5,0.906,Good Attendance
569,143,1,47,45,2,0.957,Good Attendance
570,143,2,48,46,2,0.958,Good Attendance
571,143,3,55,48,7,0.873,Attendance Concern
572,143,4,55,47,8,0.855,Attendance Concern
573,144,1,50,44,6,0.88,Attendance Concern
574,144,2,49,39,10,0.796,High Attendance Risk
575,144,3,46,45,1,0.978,Good Attendance
576,144,4,49,42,7,0.857,Attendance Concern
577,145,1,52,44,8,0.846,Attendance Concern
578,145,2,55,48,7,0.873,Attendance Concern
579,145,3,47,41,6,0.872,Attendance Concern
580,145,4,50,46,4,0.92,Good Attendance
581,146,1,50,46,4,0.92,Good Attendance
582,146,2,47,44,3,0.936,Good Attendance
583,146,3,52,49,3,0.942,Good Attendance
584,146,4,52,47,5,0.904,Good Attendance
585,147,1,55,45,10,0.818,Attendance Concern
586,147,2,49,41,8,0.837,Attendance Concern
587,147,3,48,46,2,0.958,Good Attendance
