mark_id,learner_id,subject,teacher_id,term,mark,risk_category
215,9,Accounting,26,3,48,At Risk
216,9,Accounting,26,4,49,At Risk
217,10,English,4,1,47,At Risk
218,10,English,4,2,55,Passing
219,10,English,4,3,54,Passing
220,10,English,4,4,54,Passing
221,10,Afrikaans,7,1,78,Strong
222,10,Afrikaans,7,2,70,Strong
223,10,Afrikaans,7,3,79,Strong
224,10,Afrikaans,7,4,76,Strong
225,10,Mathematics,2,1,61,Passing
226,10,Mathematics,2,2,71,Strong
227,10,Mathematics,2,3,73,Strong
228,10,Mathematics,2,4,68,Passing
229,10,Life Science,14,1,79,Strong
230,10,Life Science,14,2,80,Strong
231,10,Life Science,14,3,90,Strong
232,10,Life Science,14,4,89,Strong
233,10,Geography,20,1,76,Strong
234,10,Geography,20,2,71,Strong
235,10,Geography,20,3,75,Strong
236,10,Geography,20,4,85,Strong
237,10,History,17,1,46,At Risk
238,10,History,17,2,44,At Risk
239,10,History,17,3,49,At Risk
240,10,History,17,4,53,Passing
241,11,English,6,1,74,Strong
242,11,English,6,2,63,Passing
243,11,English,6,3,66,Passing
244,11,English,6,4,76,Strong
245,11,Afrikaans,7,1,71,Strong
246,11,Afrikaans,7,2,74,Strong
247,11,Afrikaans,7,3,62,Passing
248,11,Afrikaans,7,4,64,Passing
249,11,Mathematics,3,1,76,Strong
250,11,Mathematics,3,2,77,Strong
251,11,Mathematics,3,3,75,Strong
252,11,Mathematics,3,4,73,Strong
253,11,History,18,1,58,Passing
254,11,History,18,2,55,Passing
255,11,History,18,3,60,Passing
256,11,History,18,4,70,Strong
257,11,Geography,19,1,84,Strong
258,11,Geography,19,2,75,Strong
259,11,Geography,19,3,80,Strong
260,11,Geography,19,4,80,Strong
261,11,Accounting,26,1,68,Passing
262,11,Accounting,26,2,71,Strong
263,11,Accounting,26,3,77,Strong
264,11,Accounting,26,4,68,Passing
265,12,English,4,1,50,Passing
266,12,English,4,2,48,At Risk
267,12,English,4,3,60,Passing
268,12,English,4,4,51,Passing
269,12,Afrikaans,7,1,67,Passing
270,12,Afrikaans,7,2,75,Strong
271,12,Afrikaans,7,3,76,Strong
272,12,Afrikaans,7,4,67,Passing
273,12,Mathematics,2,1,76,Strong
274,12,Mathematics,2,2,76,Strong
275,12,Mathematics,2,3,72,Strong
276,12,Mathematics,2,4,72,Strong
277,12,Geography,19,1,78,Strong
278,12,Geography,19,2,69,Passing
279,12,Geography,19,3,65,Passing
280,12,Geography,19,4,68,Passing
281,12,History,16,1,55,Passing
282,12,History,16,2,63,Passing
283,12,History,16,3,48,At Risk
284,12,History,16,4,59,Passing
285,12,Physical Science,10,1,76,Strong
286,12,Physical Science,10,2,79,Strong
287,12,Physical Science,10,3,69,Passing
288,12,Physical Science,10,4,67,Passing
289,13,English,5,1,52,Passing
290,13,English,5,2,55,Passing
291,13,English,5,3,58,Passing
292,13,English,5,4,59,Passing
293,13,Afrikaans,9,1,76,Strong
294,13,Afrikaans,9,2,65,Passing
295,13,Afrikaans,9,3,67,Passing
296,13,Afrikaans,9,4,73,Strong
297,13,Mathematics,3,1,50,Passing
298,13,Mathematics,3,2,50,Passing
299,13,Mathematics,3,3,52,Passing
300,13,Mathematics,3,4,47,At Risk
301,13,Geography,20,1,52,Passing
302,13,Geography,20,2,51,Passing
303,13,Geography,20,3,60,Passing
304,13,Geography,20,4,63,Passing
305,13,Physical Science,11,1,36,High Risk
306,13,Physical Science,11,2,49,At Risk
307,13,Physical Science,11,3,37,High Risk
308,13,Physical Science,11,4,42,At Risk
309,13,Information Technology,23,1,50,Passing
310,13,Information Technology,23,2,55,Passing
311,13,Information Technology,23,3,52,Passing
312,13,Information Technology,23,4,56,Passing
313,14,English,4,1,81,Strong
314,14,English,4,2,74,Strong
315,14,English,4,3,80,Strong
316,14,English,4,4,78,Strong
317,14,Afrikaans,7,1,85,Strong
318,14,Afrikaans,7,2,81,Strong
319,14,Afrikaans,7,3,86,Strong
320,14,Afrikaans,7,4,79,Strong
321,14,Mathematics,2,1,69,Passing
322,14,Mathematics,2,2,68,Passing
323,14,Mathematics,2,3,69,Passing
324,14,Mathematics,2,4,74,Strong
325,14,History,16,1,77,Strong
326,14,History,16,2,76,Strong
327,14,History,16,3,78,Strong
328,14,History,16,4,77,Strong
329,14,Life Science,15,1,82,Strong
330,14,Life Science,15,2,80,Strong
331,14,Life Science,15,3,87,Strong
332,14,Life Science,15,4,74,Strong
333,14,Physical Science,10,1,70,Strong
334,14,Physical Science,10,2,70,Strong
335,14,Physical Science,10,3,76,Strong
336,14,Physical Science,10,4,68,Passing
337,15,English,6,1,73,Strong
338,15,English,6,2,78,Strong
339,15,English,6,3,66,Passing
340,15,English,6,4,65,Passing
341,15,Afrikaans,8,1,61,Passing
342,15,Afrikaans,8,2,60,Passing
343,15,Afrikaans,8,3,62,Passing
344,15,Afrikaans,8,4,61,Passing
345,15,Mathematics,2,1,55,Passing
346,15,Mathematics,2,2,49,At Risk
347,15,Mathematics,2,3,55,Passing
348,15,Mathematics,2,4,55,Passing
349,15,Accounting,26,1,68,Passing
350,15,Accounting,26,2,60,Passing
351,15,Accounting,26,3,67,Passing
352,15,Accounting,26,4,72,Strong
353,15,Physical Science,12,1,68,Passing
354,15,Physical Science,12,2,75,Strong
355,15,Physical Science,12,3,72,Strong
356,15,Physical Science,12,4,79,Strong
357,15,Information Technology,23,1,50,Passing
358,15,Information Technology,23,2,56,Passing
359,15,Information Technology,23,3,49,At Risk
360,15,Information Technology,23,4,46,At Risk
361,16,English,5,1,46,At Risk
362,16,English,5,2,54,Passing
363,16,English,5,3,57,Passing
364,16,English,5,4,58,Passing
365,16,Afrikaans,8,1,57,Passing
366,16,Afrikaans,8,2,62,Passing
367,16,Afrikaans,8,3,62,Passing
368,16,Afrikaans,8,4,58,Passing
369,16,Mathematics,1,1,57,Passing
370,16,Mathematics,1,2,58,Passing
371,16,Mathematics,1,3,56,Passing
372,16,Mathematics,1,4,57,Passing
373,16,Life Science,13,1,72,Strong
374,16,Life Science,13,2,57,Passing
375,16,Life Science,13,3,59,Passing
376,16,Life Science,13,4,69,Passing
377,16,Accounting,25,1,80,Strong
378,16,Accounting,25,2,73,Strong
379,16,Accounting,25,3,72,Strong
380,16,Accounting,25,4,77,Strong
381,16,Physical Science,10,1,34,High Risk
382,16,Physical Science,10,2,42,At Risk
383,16,Physical Science,10,3,48,At Risk
384,16,Physical Science,10,4,48,At Risk
385,17,English,6,1,57,Passing
386,17,English,6,2,60,Passing
387,17,English,6,3,70,Strong
388,17,English,6,4,61,Passing
389,17,Afrikaans,8,1,64,Passing
390,17,Afrikaans,8,2,65,Passing
391,17,Afrikaans,8,3,64,Passing
392,17,Afrikaans,8,4,54,Passing
393,17,Mathematics,3,1,58,Passing
394,17,Mathematics,3,2,63,Passing
395,17,Mathematics,3,3,68,Passing
396,17,Mathematics,3,4,66,Passing
397,17,Information Technology,22,1,51,Passing
398,17,Information Technology,22,2,55,Passing
399,17,Information Technology,22,3,53,Passing
400,17,Information Technology,22,4,47,At Risk
401,17,Life Science,13,1,80,Strong
402,17,Life Science,13,2,81,Strong
403,17,Life Science,13,3,80,Strong
404,17,Life Science,13,4,89,Strong
405,17,Accounting,25,1,67,Passing
406,17,Accounting,25,2,68,Passing
407,17,Accounting,25,3,61,Passing
408,17,Accounting,25,4,63,Passing
409,18,English,5,1,93,Strong
410,18,English,5,2,89,Strong
411,18,English,5,3,93,Strong
412,18,English,5,4,78,Strong
413,18,Afrikaans,9,1,40,At Risk
414,18,Afrikaans,9,2,43,At Risk
415,18,Afrikaans,9,3,49,At Risk
416,18,Afrikaans,9,4,54,Passing
417,18,Mathematics,2,1,79,Strong
418,18,Mathematics,2,2,69,Passing
419,18,Mathematics,2,3,81,Strong
420,18,Mathematics,2,4,69,Passing
421,18,Life Science,15,1,68,Passing
422,18,Life Science,15,2,63,Passing
423,18,Life Science,15,3,70,Strong
424,18,Life Science,15,4,67,Passing
425,18,Geography,21,1,86,Strong
426,18,Geography,21,2,92,Strong
427,18,Geography,21,3,92,Strong
428,18,Geography,21,4,91,Strong
429,18,Physical Science,10,1,75,Strong
430,18,Physical Science,10,2,81,Strong
431,18,Physical Science,10,3,66,Passing
432,18,Physical Science,10,4,77,Strong
433,19,English,4,1,63,Passing
434,19,English,4,2,73,Strong
435,19,English,4,3,69,Passing
436,19,English,4,4,60,Passing
437,19,Afrikaans,7,1,90,Strong
438,19,Afrikaans,7,2,83,Strong
439,19,Afrikaans,7,3,82,Strong
440,19,Afrikaans,7,4,76,Strong
441,19,Mathematics,3,1,84,Strong
442,19,Mathematics,3,2,74,Strong
443,19,Mathematics,3,3,85,Strong
444,19,Mathematics,3,4,81,Strong
445,19,Information Technology,24,1,51,Passing
446,19,Information Technology,24,2,45,At Risk
447,19,Information Technology,24,3,47,At Risk
448,19,Information Technology,24,4,50,Passing
449,19,Life Science,13,1,53,Passing
450,19,Life Science,13,2,49,At Risk
451,19,Life Science,13,3,52,Passing
452,19,Life Science,13,4,43,At Risk
453,19,Geography,20,1,71,Strong
454,19,Geography,20,2,78,Strong
455,19,Geography,20,3,81,Strong
456,19,Geography,20,4,80,Strong
457,20,English,5,1,46,At Risk
458,20,English,5,2,58,Passing
459,20,English,5,3,48,At Risk
460,20,English,5,4,52,Passing
461,20,Afrikaans,9,1,83,Strong
462,20,Afrikaans,9,2,79,Strong
463,20,Afrikaans,9,3,77,Strong
464,20,Afrikaans,9,4,72,Strong
465,20,Mathematics,3,1,71,Strong
466,20,Mathematics,3,2,72,Strong
467,20,Mathematics,3,3,69,Passing
468,20,Mathematics,3,4,76,Strong
469,20,Accounting,26,1,53,Passing
470,20,Accounting,26,2,54,Passing
471,20,Accounting,26,3,55,Passing
472,20,Accounting,26,4,53,Passing
473,20,History,16,1,68,Passing
474,20,History,16,2,65,Passing
475,20,History,16,3,74,Strong
476,20,History,16,4,69,Passing
477,20,Information Technology,22,1,76,Strong
478,20,Information Technology,22,2,73,Strong
479,20,Information Technology,22,3,74,Strong
480,20,Information Technology,22,4,68,Passing
481,21,English,4,1,87,Strong
482,21,English,4,2,87,Strong
483,21,English,4,3,86,Strong
484,21,English,4,4,79,Strong
485,21,Afrikaans,7,1,56,Passing
486,21,Afrikaans,7,2,64,Passing
487,21,Afrikaans,7,3,57,Passing
488,21,Afrikaans,7,4,66,Passing
489,21,Mathematics,3,1,68,Passing
490,21,Mathematics,3,2,75,Strong
491,21,Mathematics,3,3,66,Passing
492,21,Mathematics,3,4,66,Passing
493,21,Life Science,15,1,80,Strong
494,21,Life Science,15,2,80,Strong
495,21,Life Science,15,3,76,Strong
496,21,Life Science,15,4,75,Strong
497,21,Information Technology,24,1,81,Strong
498,21,Information Technology,24,2,81,Strong
499,21,Information Technology,24,3,75,Strong
500,21,Information Technology,24,4,90,Strong
501,21,Physical Science,11,1,51,Passing
502,21,Physical Science,11,2,45,At Risk
503,21,Physical Science,11,3,47,At Risk
504,21,Physical Science,11,4,57,Passing
505,22,English,4,1,75,Strong
506,22,English,4,2,63,Passing
507,22,English,4,3,64,Passing
508,22,English,4,4,60,Passing
509,22,Afrikaans,9,1,77,Strong
510,22,Afrikaans,9,2,85,Strong
511,22,Afrikaans,9,3,87,Strong
512,22,Afrikaans,9,4,87,Strong
513,22,Mathematics,2,1,53,Passing
514,22,Mathematics,2,2,54,Passing
515,22,Mathematics,2,3,53,Passing
516,22,Mathematics,2,4,45,At Risk
517,22,Life Science,13,1,50,Passing
518,22,Life Science,13,2,44,At Risk
519,22,Life Science,13,3,48,At Risk
520,22,Life Science,13,4,56,Passing
521,22,History,18,1,52,Passing
522,22,History,18,2,63,Passing
523,22,History,18,3,66,Passing
524,22,History,18,4,56,Passing
525,22,Physical Science,10,1,49,At Risk
526,22,Physical Science,10,2,48,At Risk
527,22,Physical Science,10,3,57,Passing
528,22,Physical Science,10,4,51,Passing
529,23,English,6,1,69,Passing
530,23,English,6,2,74,Strong
531,23,English,6,3,76,Strong
532,23,English,6,4,75,Strong
533,23,Afrikaans,8,1,61,Passing
534,23,Afrikaans,8,2,59,Passing
535,23,Afrikaans,8,3,53,Passing
536,23,Afrikaans,8,4,51,Passing
537,23,Mathematics,1,1,49,At Risk
538,23,Mathematics,1,2,44,At Risk
539,23,Mathematics,1,3,53,Passing
540,23,Mathematics,1,4,47,At Risk
541,23,Information Technology,23,1,46,At Risk
542,23,Information Technology,23,2,56,Passing
543,23,Information Technology,23,3,55,Passing
544,23,Information Technology,23,4,52,Passing
545,23,Physical Science,11,1,53,Passing
546,23,Physical Science,11,2,54,Passing
547,23,Physical Science,11,3,57,Passing
548,23,Physical Science,11,4,51,Passing
549,23,History,18,1,57,Passing
550,23,History,18,2,48,At Risk
551,23,History,18,3,50,Passing
552,23,History,18,4,49,At Risk
553,24,English,4,1,79,Strong
554,24,English,4,2,76,Strong
555,24,English,4,3,69,Passing
556,24,English,4,4,77,Strong
557,24,Afrikaans,9,1,68,Passing
558,24,Afrikaans,9,2,75,Strong
559,24,Afrikaans,9,3,69,Passing
560,24,Afrikaans,9,4,71,Strong
561,24,Mathematics,2,1,51,Passing
562,24,Mathematics,2,2,59,Passing
563,24,Mathematics,2,3,62,Passing
564,24,Mathematics,2,4,58,Passing
565,24,Information Technology,22,1,41,At Risk
566,24,Information Technology,22,2,52,Passing
567,24,Information Technology,22,3,47,At Risk
568,24,Information Technology,22,4,43,At Risk
569,24,Geography,19,1,80,Strong
570,24,Geography,19,2,73,Strong
571,24,Geography,19,3,67,Passing
572,24,Geography,19,4,73,Strong
573,24,Accounting,26,1,64,Passing
574,24,Accounting,26,2,64,Passing
575,24,Accounting,26,3,61,Passing
576,24,Accounting,26,4,72,Strong
577,25,English,4,1,62,Passing
578,25,English,4,2,59,Passing
579,25,English,4,3,61,Passing
580,25,English,4,4,63,Passing
581,25,Afrikaans,9,1,77,Strong
582,25,Afrikaans,9,2,78,Strong
583,25,Afrikaans,9,3,73,Strong
584,25,Afrikaans,9,4,87,Strong
585,25,Mathematics,3,1,76,Strong
586,25,Mathematics,3,2,71,Strong
587,25,Mathematics,3,3,62,Passing
588,25,Mathematics,3,4,63,Passing
589,25,Accounting,27,1,53,Passing
590,25,Accounting,27,2,43,At Risk
591,25,Accounting,27,3,41,At Risk
592,25,Accounting,27,4,42,At Risk
593,25,Life Science,14,1,74,Strong
594,25,Life Science,14,2,72,Strong
595,25,Life Science,14,3,61,Passing
596,25,Life Science,14,4,64,Passing
597,25,Physical Science,12,1,82,Strong
598,25,Physical Science,12,2,69,Passing
599,25,Physical Science,12,3,83,Strong
600,25,Physical Science,12,4,81,Strong
601,26,English,5,1,56,Passing
602,26,English,5,2,46,At Risk
603,26,English,5,3,58,Passing
604,26,English,5,4,55,Passing
605,26,Afrikaans,9,1,67,Passing
606,26,Afrikaans,9,2,80,Strong
607,26,Afrikaans,9,3,75,Strong
608,26,Afrikaans,9,4,66,Passing
609,26,Mathematics,1,1,65,Passing
610,26,Mathematics,1,2,57,Passing
611,26,Mathematics,1,3,63,Passing
612,26,Mathematics,1,4,59,Passing
613,26,Information Technology,24,1,50,Passing
614,26,Information Technology,24,2,48,At Risk
615,26,Information Technology,24,3,39,High Risk
616,26,Information Technology,24,4,38,High Risk
617,26,Life Science,14,1,57,Passing
618,26,Life Science,14,2,43,At Risk
619,26,Life Science,14,3,51,Passing
620,26,Life Science,14,4,55,Passing
621,26,Physical Science,10,1,45,At Risk
622,26,Physical Science,10,2,54,Passing
623,26,Physical Science,10,3,52,Passing
624,26,Physical Science,10,4,53,Passing
625,27,English,4,1,79,Strong
626,27,English,4,2,79,Strong
627,27,English,4,3,69,Passing
628,27,English,4,4,71,Strong
629,27,Afrikaans,7,1,62,Passing
630,27,Afrikaans,7,2,64,Passing
631,27,Afrikaans,7,3,71,Strong
632,27,Afrikaans,7,4,75,Strong
633,27,Mathematics,3,1,47,At Risk
634,27,Mathematics,3,2,40,At Risk
635,27,Mathematics,3,3,40,At Risk
636,27,Mathematics,3,4,49,At Risk
637,27,Accounting,26,1,76,Strong
638,27,Accounting,26,2,75,Strong
639,27,Accounting,26,3,70,Strong
640,27,Accounting,26,4,70,Strong
641,27,History,18,1,80,Strong
642,27,History,18,2,73,Strong
643,27,History,18,3,77,Strong
644,27,History,18,4,75,Strong
645,27,Physical Science,12,1,38,High Risk
646,27,Physical Science,12,2,50,Passing
647,27,Physical Science,12,3,37,High Risk
648,27,Physical Science,12,4,44,At Risk
649,28,English,4,1,54,Passing
650,28,English,4,2,55,Passing
651,28,English,4,3,53,Passing
652,28,English,4,4,66,Passing
653,28,Afrikaans,8,1,76,Strong
654,28,Afrikaans,8,2,82,Strong
655,28,Afrikaans,8,3,76,Strong
656,28,Afrikaans,8,4,87,Strong
657,28,Mathematics,1,1,67,Passing
658,28,Mathematics,1,2,66,Passing
659,28,Mathematics,1,3,61,Passing
660,28,Mathematics,1,4,64,Passing
661,28,Information Technology,23,1,76,Strong
662,28,Information Technology,23,2,74,Strong
663,28,Information Technology,23,3,77,Strong
664,28,Information Technology,23,4,77,Strong
665,28,Physical Science,12,1,54,Passing
666,28,Physical Science,12,2,49,At Risk
667,28,Physical Science,12,3,61,Passing
668,28,Physical Science,12,4,52,Passing
669,28,History,17,1,75,Strong
670,28,History,17,2,74,Strong
671,28,History,17,3,67,Passing
672,28,History,17,4,71,Strong
673,29,English,6,1,92,Strong
674,29,English,6,2,94,Strong
675,29,English,6,3,80,Strong
676,29,English,6,4,90,Strong
677,29,Afrikaans,8,1,77,Strong
678,29,Afrikaans,8,2,71,Strong
679,29,Afrikaans,8,3,74,Strong
680,29,Afrikaans,8,4,74,Strong
681,29,Mathematics,2,1,50,Passing
682,29,Mathematics,2,2,53,Passing
683,29,Mathematics,2,3,46,At Risk
684,29,Mathematics,2,4,56,Passing
685,29,Information Technology,22,1,57,Passing
686,29,Information Technology,22,2,59,Passing
687,29,Information Technology,22,3,54,Passing
688,29,Information Technology,22,4,64,Passing
689,29,Geography,21,1,55,Passing
690,29,Geography,21,2,55,Passing
691,29,Geography,21,3,58,Passing
692,29,Geography,21,4,46,At Risk
693,29,History,17,1,71,Strong
694,29,History,17,2,72,Strong
695,29,History,17,3,70,Strong
696,29,History,17,4,74,Strong
697,30,English,6,1,58,Passing
698,30,English,6,2,55,Passing
699,30,English,6,3,46,At Risk
700,30,English,6,4,50,Passing
701,30,Afrikaans,9,1,48,At Risk
702,30,Afrikaans,9,2,52,Passing
703,30,Afrikaans,9,3,41,At Risk
704,30,Afrikaans,9,4,42,At Risk
705,30,Mathematics,2,1,50,Passing
706,30,Mathematics,2,2,59,Passing
707,30,Mathematics,2,3,50,Passing
708,30,Mathematics,2,4,54,Passing
709,30,Physical Science,10,1,49,At Risk
710,30,Physical Science,10,2,55,Passing
711,30,Physical Science,10,3,55,Passing
712,30,Physical Science,10,4,52,Passing
713,30,Information Technology,23,1,72,Strong
714,30,Information Technology,23,2,71,Strong
715,30,Information Technology,23,3,77,Strong
716,30,Information Technology,23,4,72,Strong
717,30,History,16,1,85,Strong
718,30,History,16,2,84,Strong
719,30,History,16,3,87,Strong
720,30,History,16,4,89,Strong
721,31,English,6,1,84,Strong
722,31,English,6,2,82,Strong
723,31,English,6,3,81,Strong
724,31,English,6,4,84,Strong
725,31,Afrikaans,9,1,84,Strong
726,31,Afrikaans,9,2,83,Strong
727,31,Afrikaans,9,3,72,Strong
728,31,Afrikaans,9,4,84,Strong
729,31,Mathematics,3,1,58,Passing
730,31,Mathematics,3,2,63,Passing
731,31,Mathematics,3,3,62,Passing
732,31,Mathematics,3,4,65,Passing
733,31,Physical Science,10,1,39,High Risk
